,NSSEC1_change_pct,Highest_Level_change_pct,hse_change,white_change_pct,scenarios_2_PCA1,scenarios_2_PCA2,scenarios_2_PCA_total,scenarios_2_PCA_total_zscore,scenarios_2_status,LSOA21CD
1522,0.4524388499499356,0.3037770612620912,0.2530889022946131,0.649849505518131,0.0678645927318919,-0.090429591014921,-0.022564998283029103,-0.17740493042182726,ascent,E01001240
1523,0.4974967815763124,0.3578995854444955,0.2276180262305337,0.5705890784004587,0.0738013840746014,0.0141922671241889,0.08799365119879031,0.6918018504891469,ascent,E01001241
1524,0.433557430982692,0.3701059419622293,0.4398753267645284,0.689408055037982,0.1388526906348492,-0.0921512492645743,0.046701441370274904,0.36716448425895915,ascent,E01001242
1525,0.4727506794450007,0.3654997696913864,0.2234845945885559,0.5366203239214562,0.0458514840539023,0.034601448038686,0.0804529320925883,0.6325170798196792,ascent,E01001243
1528,0.4485767415248176,0.3906034085674804,0.2413588935808923,0.5252974057617887,0.0445900934594901,0.0460021819002317,0.09059227535972181,0.7122321085676175,ascent,E01001246
1555,0.4183950793877842,0.3652694610778443,0.2561051902495699,0.5978214132148487,0.0590669313890004,-0.0346870488945719,0.024379882494428497,0.19167346273938307,ascent,E01001274
1570,0.3877842940924045,0.3737908797789037,0.2438166096923386,0.6071377382829295,0.0544141263537635,-0.0509709903592942,0.0034431359944692985,0.027069769466418217,ascent,E01001289
1583,0.4005149477900158,0.4064947029018885,0.2119780146122394,0.5787587788447757,0.0615659329225261,-0.0097240395257885,0.0518418933967376,0.4075784706751344,ascent,E01001302
1618,0.4435703046774424,0.3841547673883003,0.2247134526442791,0.6236204672495342,0.0962647295891089,-0.037813938155902,0.058450791433206896,0.4595373089439845,ascent,E01001337
1620,0.480760978400801,0.3813910640257945,0.2957637911388162,0.5635660025799054,0.0815529574708078,0.0263768005088596,0.1079297579796674,0.84853856245263,ascent,E01001339
1632,0.38149048776999,0.3813910640257946,0.2583394776236119,0.5968181166690555,0.0510585199741448,-0.0412699897605861,0.009788530213558702,0.07695695340576963,ascent,E01001351
1633,0.4387069088828494,0.4028097650852141,0.2446544674576043,0.5638526587358464,0.0710985521603455,0.0170266508117301,0.0881252029720756,0.6928361041989776,ascent,E01001352
1634,0.441138606780146,0.4161676646706587,0.2597917644167393,0.5810520280923034,0.0922478515398547,0.0109516038320304,0.1031994553718851,0.8113491510251563,ascent,E01001353
1636,0.4276927478186239,0.40879778903731,0.2558817615121657,0.5903683531603842,0.0864669506036427,-0.0053327589739407,0.08113419162970201,0.6378731095106612,ascent,E01001355
1638,0.6519811185810327,0.5389221556886228,0.290066358335009,0.708470689408055,0.3503535337073444,0.0506982359710435,0.4010517696783879,3.153049710128065,ascent,E01001357
1639,0.7190673723358604,0.5941962229387379,0.2683937708068011,0.8088003439873871,0.4764386238696093,0.0218903594711396,0.4983289833407489,3.9178384818772543,ascent,E01001358
