LSOA21CD,num_airbnb_12_21,density_airbnb,num_airbnb_rank,airbnb_total_price_2012_2021,num_airbnb_2012_2021,average_price_2012_2021
E01000260,11,0.001344032,59.4623889,1169,11,106.2727273
E01000261,2,0.000167597,14.74094949,68,2,34
E01000263,5,0.001270144,36.86321266,1000,5,200
E01000264,10,0.002608249,56.6442662,825,10,82.5
E01000265,5,0.002377047,36.86321266,375,5,75
E01000266,2,0.000315372,14.74094949,70,2,35
E01000267,1,0.000362097,5.007587253,38,1,38
E01000268,6,0.00237716,42.02254498,660,6,110
E01000269,0,0,0,0,0,0
E01000270,1,0.000397869,5.007587253,50,1,50
E01000271,8,0.002278566,50.2276176,447,8,55.875
E01000272,5,0.001056111,36.86321266,688,5,137.6
E01000273,5,0.001525409,36.86321266,653,5,130.6
E01000274,6,0.002253132,42.02254498,360,6,60
E01000275,4,0.001206309,30.65250379,292,4,73
E01000276,4,0.000780773,30.65250379,587,4,146.75
E01000277,9,0.004881356,53.68523737,522,9,58
E01000278,0,0,0,0,0,0
E01000279,2,3.98E-05,14.74094949,366,2,183
E01000280,5,0.000492557,36.86321266,254,5,50.8
E01000281,4,0.001500797,30.65250379,228,4,57
E01000282,8,0.0015158,50.2276176,767,8,95.875
E01000283,5,0.001504171,36.86321266,435,5,87
E01000284,5,0.001793445,36.86321266,250,5,50
E01000285,3,0.001459996,23.30370692,184,3,61.33333333
E01000286,1,0.000373647,5.007587253,125,1,125
E01000287,1,0.000360698,5.007587253,23,1,23
E01000288,2,0.000593459,14.74094949,77,2,38.5
E01000289,1,0.000349929,5.007587253,100,1,100
E01000290,0,0,0,0,0,0
E01000291,4,0.001639821,30.65250379,124,4,31
E01000292,4,0.001393981,30.65250379,260,4,65
E01000293,1,0.000364373,5.007587253,90,1,90
E01000294,2,0.00061255,14.74094949,129,2,64.5
E01000295,6,0.002945783,42.02254498,300,6,50
E01000296,5,0.002242454,36.86321266,462,5,92.4
E01000297,5,0.002159473,36.86321266,1334,5,266.8
E01000298,12,0.004448019,62.02037719,655,12,54.58333333
E01000299,8,0.004820991,50.2276176,571,8,71.375
E01000300,4,0.002352664,30.65250379,263,4,65.75
E01000301,6,0.002101672,42.02254498,536,6,89.33333333
E01000302,5,0.002295905,36.86321266,274,5,54.8
E01000303,5,0.002322589,36.86321266,819,5,163.8
E01000304,6,0.003404333,42.02254498,363,6,60.5
E01000305,9,0.001304599,53.68523737,532,9,59.11111111
E01000306,13,0.008951812,64.28571429,1029,13,79.15384615
E01000307,13,0.00260626,64.28571429,949,13,73
E01000308,7,0.001327815,46.41231303,520,7,74.28571429
E01000309,10,0.00345521,56.6442662,761,10,76.1
E01000310,13,0.00419436,64.28571429,2126,13,163.5384615
E01000311,3,0.000885172,23.30370692,161,3,53.66666667
E01000312,5,0.003400597,36.86321266,356,5,71.2
E01000313,7,0.00322073,46.41231303,483,7,69
E01000314,16,0.006487477,70.35551702,1122,16,70.125
E01000315,2,0.000395132,14.74094949,99,2,49.5
E01000316,12,0.002959112,62.02037719,1605,12,133.75
E01000317,6,0.003515845,42.02254498,710,6,118.3333333
E01000318,6,0.00219993,42.02254498,365,6,60.83333333
E01000319,4,0.002542491,30.65250379,120,4,30
E01000320,5,0.002114335,36.86321266,232,5,46.4
E01000321,4,0.002262124,30.65250379,315,4,78.75
E01000322,6,0.002969562,42.02254498,295,6,49.16666667
E01000323,9,0.004224301,53.68523737,1138,9,126.4444444
E01000324,6,0.002200043,42.02254498,513,6,85.5
E01000325,1,0.000255418,5.007587253,40,1,40
E01000326,3,0.001103651,23.30370692,110,3,36.66666667
E01000327,0,0,0,0,0,0
E01000328,0,0,0,0,0,0
E01000329,1,0.00020825,5.007587253,28,1,28
E01000330,3,0.001172347,23.30370692,278,3,92.66666667
E01000331,0,0,0,0,0,0
E01000332,3,0.001075543,23.30370692,150,3,50
E01000333,8,0.002769373,50.2276176,765,8,95.625
E01000334,1,0.000371966,5.007587253,35,1,35
E01000335,11,0.000787633,59.4623889,742,11,67.45454545
E01000336,4,0.002233015,30.65250379,106,4,26.5
E01000337,2,0.000727151,14.74094949,81,2,40.5
E01000338,1,0.000577747,5.007587253,26,1,26
E01000339,0,0,0,0,0,0
E01000340,0,0,0,0,0,0
E01000341,1,0.000419815,5.007587253,120,1,120
E01000342,3,0.001350408,23.30370692,360,3,120
E01000343,2,0.000650417,14.74094949,210,2,105
E01000344,1,0.000443225,5.007587253,70,1,70
E01000345,1,0.000476186,5.007587253,45,1,45
E01000346,0,0,0,0,0,0
E01000347,0,0,0,0,0,0
E01000348,0,0,0,0,0,0
E01000349,0,0,0,0,0,0
E01000350,0,0,0,0,0,0
E01000351,0,0,0,0,0,0
E01000352,1,0.000289365,5.007587253,61,1,61
E01000353,0,0,0,0,0,0
E01000354,0,0,0,0,0,0
E01000355,3,0.000712438,23.30370692,54,3,18
E01000356,1,0.00031999,5.007587253,150,1,150
E01000357,1,0.000504717,5.007587253,35,1,35
E01000358,1,0.000339848,5.007587253,19,1,19
E01000359,0,0,0,0,0,0
E01000360,1,0.000225198,5.007587253,60,1,60
E01000361,2,0.000706282,14.74094949,100,2,50
E01000362,6,0.001506588,42.02254498,312,6,52
E01000363,2,0.000475507,14.74094949,280,2,140
E01000364,0,0,0,0,0,0
E01000365,0,0,0,0,0,0
E01000366,3,0.001276493,23.30370692,119,3,39.66666667
E01000367,2,0.000767527,14.74094949,94,2,47
E01000368,0,0,0,0,0,0
E01000369,0,0,0,0,0,0
E01000370,3,0.000918333,23.30370692,58,3,19.33333333
E01000371,0,0,0,0,0,0
E01000372,3,0.001319232,23.30370692,279,3,93
E01000373,4,0.004477889,30.65250379,235,4,58.75
E01000374,1,0.000135349,5.007587253,40,1,40
E01000375,4,0.000945323,30.65250379,470,4,117.5
E01000376,2,0.000364447,14.74094949,135,2,67.5
E01000377,0,0,0,0,0,0
E01000379,0,0,0,0,0,0
E01000380,0,0,0,0,0,0
E01000381,0,0,0,0,0,0
E01000382,0,0,0,0,0,0
E01000383,2,7.16E-05,14.74094949,223,2,111.5
E01000384,0,0,0,0,0,0
E01000385,0,0,0,0,0,0
E01000386,1,0.000181389,5.007587253,24,1,24
E01000387,5,0.001619119,36.86321266,169,5,33.8
E01000388,0,0,0,0,0,0
E01000389,0,0,0,0,0,0
E01000390,1,0.000185589,5.007587253,357,1,357
E01000391,0,0,0,0,0,0
E01000392,1,0.000453081,5.007587253,85,1,85
E01000393,0,0,0,0,0,0
E01000394,1,0.000423157,5.007587253,40,1,40
E01000395,2,0.000630467,14.74094949,100,2,50
E01000396,1,0.000464082,5.007587253,50,1,50
E01000398,2,0.000859162,14.74094949,55,2,27.5
E01000399,6,0.002038023,42.02254498,232,6,38.66666667
E01000400,3,0.00106412,23.30370692,124,3,41.33333333
E01000401,0,0,0,0,0,0
E01000402,0,0,0,0,0,0
E01000403,11,0.001744772,59.4623889,2324,11,211.2727273
E01000404,6,0.003541599,42.02254498,140,6,23.33333333
E01000405,1,0.000256099,5.007587253,50,1,50
E01000406,2,0.000470773,14.74094949,275,2,137.5
E01000407,4,0.000918238,30.65250379,161,4,40.25
E01000408,2,0.00018566,14.74094949,50,2,25
E01000409,3,0.001330625,23.30370692,218,3,72.66666667
E01000410,2,0.000718869,14.74094949,104,2,52
E01000411,0,0,0,0,0,0
E01000412,1,0.00040528,5.007587253,50,1,50
E01000413,0,0,0,0,0,0
E01000414,3,0.001025858,23.30370692,100,3,33.33333333
E01000415,1,0.000438681,5.007587253,36,1,36
E01000416,10,0.005678237,56.6442662,660,10,66
E01000417,6,0.000813879,42.02254498,421,6,70.16666667
E01000418,4,0.000771092,30.65250379,158,4,39.5
E01000419,6,0.002240905,42.02254498,210,6,35
E01000420,0,0,0,0,0,0
E01000421,0,0,0,0,0,0
E01000422,2,0.001892918,14.74094949,140,2,70
E01000423,7,0.00241777,46.41231303,339,7,48.42857143
E01000424,0,0,0,0,0,0
E01000425,0,0,0,0,0,0
E01000426,1,0.000387325,5.007587253,30,1,30
E01000427,0,0,0,0,0,0
E01000428,1,0.000113112,5.007587253,26,1,26
E01000429,0,0,0,0,0,0
E01000430,2,0.000132615,14.74094949,132,2,66
E01000431,2,0.001355785,14.74094949,89,2,44.5
E01000433,4,0.001279947,30.65250379,195,4,48.75
E01000434,3,0.000193232,23.30370692,126,3,42
E01000435,1,0.000575063,5.007587253,30,1,30
E01000436,0,0,0,0,0,0
E01000437,0,0,0,0,0,0
E01000438,1,0.00053691,5.007587253,55,1,55
E01000439,5,0.002012526,36.86321266,308,5,61.6
E01000440,0,0,0,0,0,0
E01000441,1,0.000419451,5.007587253,149,1,149
E01000442,0,0,0,0,0,0
E01000443,1,0.000366851,5.007587253,28,1,28
E01000444,1,7.28E-05,5.007587253,95,1,95
E01000445,0,0,0,0,0,0
E01000446,2,0.000725537,14.74094949,96,2,48
E01000447,4,0.000404735,30.65250379,405,4,101.25
E01000448,0,0,0,0,0,0
E01000449,1,0.000219995,5.007587253,85,1,85
E01000450,3,0.001312313,23.30370692,120,3,40
E01000451,1,0.000480204,5.007587253,39,1,39
E01000452,0,0,0,0,0,0
E01000453,0,0,0,0,0,0
E01000454,2,0.000979504,14.74094949,334,2,167
E01000455,2,0.000762713,14.74094949,53,2,26.5
E01000456,2,0.001183733,14.74094949,109,2,54.5
E01000457,3,0.001000877,23.30370692,295,3,98.33333333
E01000458,2,0.000598068,14.74094949,100,2,50
E01000459,2,0.000631928,14.74094949,85,2,42.5
E01000460,1,0.000196302,5.007587253,60,1,60
E01000461,1,0.000182362,5.007587253,145,1,145
E01000462,1,0.000216426,5.007587253,125,1,125
E01000463,1,0.000424986,5.007587253,128,1,128
E01000464,0,0,0,0,0,0
E01000465,0,0,0,0,0,0
E01000466,6,0.000253944,42.02254498,348,6,58
E01000467,4,0.002286551,30.65250379,435,4,108.75
E01000468,18,0.006198966,73.70474745,906,18,50.33333333
E01000469,6,0.001579035,42.02254498,368,6,61.33333333
E01000470,1,0.000280042,5.007587253,25,1,25
E01000471,1,0.000715809,5.007587253,60,1,60
E01000472,12,0.002802121,62.02037719,709,12,59.08333333
E01000473,3,0.001725288,23.30370692,170,3,56.66666667
E01000474,1,0.000510869,5.007587253,25,1,25
E01000475,6,0.001907699,42.02254498,700,6,116.6666667
E01000476,0,0,0,0,0,0
E01000477,4,0.001053194,30.65250379,173,4,43.25
E01000478,4,0.002064761,30.65250379,224,4,56
E01000479,7,0.002256572,46.41231303,276,7,39.42857143
E01000480,5,0.001687536,36.86321266,549,5,109.8
E01000481,4,0.001547916,30.65250379,218,4,54.5
E01000483,0,0,0,0,0,0
E01000484,2,0.000656121,14.74094949,90,2,45
E01000485,1,0.000568305,5.007587253,50,1,50
E01000486,6,0.000802476,42.02254498,710,6,118.3333333
E01000487,7,0.0022812,46.41231303,358,7,51.14285714
E01000488,19,0.011929428,75.42813787,1341,19,70.57894737
E01000489,17,0.005319315,72.01387383,1984,17,116.7058824
E01000490,30,0.02262034,87.70864947,3996,30,133.2
E01000491,26,0.007100605,83.75243876,4120,26,158.4615385
E01000492,17,0.010522993,72.01387383,2228,17,131.0588235
E01000493,21,0.011447323,78.01864297,4051,21,192.9047619
E01000494,33,0.014949715,89.58378496,4449,33,134.8181818
E01000495,29,0.016573039,86.77650119,2727,29,94.03448276
E01000497,10,0.003300145,56.6442662,752,10,75.2
E01000498,2,0.000696389,14.74094949,80,2,40
E01000499,6,0.001140197,42.02254498,310,6,51.66666667
E01000501,6,0.003804717,42.02254498,1231,6,205.1666667
E01000502,17,0.00455565,72.01387383,2708,17,159.2941176
E01000503,18,0.004459861,73.70474745,1598,18,88.77777778
E01000504,22,0.0148878,79.31931498,2525,22,114.7727273
E01000505,10,0.006387572,56.6442662,466,10,46.6
E01000506,8,0.002691328,50.2276176,592,8,74
E01000507,14,0.005879191,66.44266204,940,14,67.14285714
E01000508,10,0.004310493,56.6442662,837,10,83.7
E01000509,2,0.001550616,14.74094949,82,2,41
E01000510,5,0.002801497,36.86321266,367,5,73.4
E01000511,7,0.004253587,46.41231303,732,7,104.5714286
E01000512,18,0.011698947,73.70474745,3429,18,190.5
E01000513,5,0.002970038,36.86321266,421,5,84.2
E01000514,3,0.001910828,23.30370692,684,3,228
E01000515,3,0.000789494,23.30370692,114,3,38
E01000516,11,0.004456563,59.4623889,662,11,60.18181818
E01000517,1,0.00043569,5.007587253,30,1,30
E01000518,4,0.000788359,30.65250379,287,4,71.75
E01000519,5,0.000685113,36.86321266,7944,5,1588.8
E01000520,4,0.001649491,30.65250379,246,4,61.5
E01000521,13,0.009035496,64.28571429,1130,13,86.92307692
E01000522,12,0.008260424,62.02037719,881,12,73.41666667
E01000523,17,0.012366334,72.01387383,1360,17,80
E01000524,17,0.010957774,72.01387383,2036,17,119.7647059
E01000525,13,0.00813354,64.28571429,1927,13,148.2307692
E01000526,7,0.005076105,46.41231303,279,7,39.85714286
E01000527,12,0.009395038,62.02037719,556,12,46.33333333
E01000528,4,0.003701887,30.65250379,384,4,96
E01000530,42,0.023678914,93.47496206,3842,42,91.47619048
E01000531,22,0.020594237,79.31931498,2396,22,108.9090909
E01000532,19,0.018374709,75.42813787,2991,19,157.4210526
E01000533,14,0.007576824,66.44266204,1126,14,80.42857143
E01000534,15,0.00977065,68.45870366,1450,15,96.66666667
E01000535,37,0.019486915,91.54563191,4028,37,108.8648649
E01000536,0,0,0,0,0,0
E01000538,0,0,0,0,0,0
E01000539,1,0.000355273,5.007587253,100,1,100
E01000540,1,0.000264178,5.007587253,70,1,70
E01000541,2,0.000831425,14.74094949,75,2,37.5
E01000543,1,0.00051397,5.007587253,120,1,120
E01000544,25,0.034403181,82.74441795,2382,25,95.28
E01000545,57,0.049305826,96.68328636,6300,57,110.5263158
E01000546,31,0.032652717,88.45653588,3716,31,119.8709677
E01000547,25,0.032658265,82.74441795,3631,25,145.24
E01000548,22,0.020407027,79.31931498,1576,22,71.63636364
E01000549,31,0.028008421,88.45653588,4166,31,134.3870968
E01000550,30,0.02090068,87.70864947,2597,30,86.56666667
E01000551,23,0.016784156,80.52243659,2917,23,126.826087
E01000552,13,0.014829687,64.28571429,997,13,76.69230769
E01000553,12,0.008366451,62.02037719,1079,12,89.91666667
